kind,name,path,expected_sha256,expected_size_bytes,notes
input,mature_summary_runA,"/media/jian/HIKVISION/paper rosbag/imu_deskew_experiments/p3_r9b/p3_r9b_full_runA.csv",4764630ed11510e8dff8d52673656f6f978fb90af278b0e35d2306b6caeb23e7,1829653,R9B formal full Run A consolidated result
input,mature_deskew_runA,"/media/jian/HIKVISION/paper rosbag/imu_deskew_experiments/p3_r9b/full_runA/deskew.csv",5782c11516b5851b083c8d1bd8b26973cd541e071c436dbdc385a22f4c8ced24,1625097,R9B formal full Run A deskew diagnostics
input,mature_launch_log_runA,"/media/jian/HIKVISION/paper rosbag/imu_deskew_experiments/p3_r9b/full_runA/launch.log",289f4d4669df5736e4506c112e26ee7cb5380b23d524ba3309cc7bc2c4744680,82930,R9B Run A ROS parameter-server dump and launch provenance
input,mature_profile,"/home/jian/livox_ws/dog_loc_paper_ws/src/dog_prior_map_localization/config/superloc_floor01_imu_deskew_r9b.yaml",7e4cd51280e9c478ce9f9d4f33e8188407aef78dde67438d585fc0a91e2fbfeb,,R9B dataset overlay loaded after canonical NDT YAML
input,mature_launch_file,"/home/jian/livox_ws/dog_loc_paper_ws/src/dog_prior_map_localization/launch/p3_r9b_floor01_imu_deskew_experimental.launch",aa501e32e9a6a5e26bf41e7d15eb5c029f3b794dbcd57bc9e0249ef8df8badea,,R9B experimental full Run A launch
input,h1_map,"/tmp/floor01_candidates/floor01_h1_map.pcd",2b571af236738a0664befacdc9c783246e991416a8915bcfebb9d2dc074e4570,6595818,Normalized H1 target map consumed by both pipelines
input,floor01_calibration,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/calibration/floor01_extrinsics.yaml",fd9fbfb209d6715b4812a92d458cdeb32cbfd75160356a87802c2bda5dfa7414,919,Official Floor01 SP1 laser-to-IMU calibration
input,floor01_gt,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/gt/floor01_gt.txt",b8db2491cdb3ca3194f653cab90f31eae70b457e91b2f87f30ed7fe2d0e2ce9f,178532,Officially lineage-closed IMU-origin GT; hash checked only after parameter gate
input,r7i_protocol,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/results/p3_r7i_counterfactual_replication/floor01_r7i_protocol_freeze.md",1ccb1bacb29ce0f487d9a2ae9072cc756fb9020f6f789138116a69e9842bf079,5439,Pre-result frozen windows and evaluator conventions
input,r7i_metadata,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/results/p3_r7i_counterfactual_replication/floor01_r7i_protocol_metadata.json",869f238bfc793fb6d7bcc640790556e166427d42a1920de774d36e95f510ab5c,2527,Machine-readable R7I anchor and window metadata
input,r9b_shock_audit,"/media/jian/HIKVISION/paper rosbag/imu_deskew_experiments/p3_r9b/p3_r9b_shock_audit.csv",2b32b37c4017b3f50040be9c24e4474671407af0367f572ecfb669d5e0ba9e27,804,Pre-existing raw-IMU shock identification; no physical-impact inference
input,r9b_shock_raw_samples,"/media/jian/HIKVISION/paper rosbag/imu_deskew_experiments/p3_r9b/p3_r9b_shock_window_raw.csv",b229da0c76294482967d3dce3568b22f0cde2299b3b57650660d62e2bc8ca194,76828,Existing raw-IMU neighborhood evidence
input,mature_ndt_source,"/home/jian/livox_ws/dog_loc_paper_ws/src/dog_prior_map_localization/src/dog_prior_map_ndt_node.cpp",40cdf26f9dddb9d06dc16c0bfd89fc88a9dd33e42e5bbd4e9bc3b453f1e4277c,,NDT source in R9B frozen-start workspace; compared against the independently recorded R7H source SHA
input,r3b_evaluator,"/home/jian/livox_ws/dog_loc_paper_ws/src/dog_prior_map_localization/scripts/evaluate_p3_r3_reference.py",211c7c5561f6abc68fa32434a0e502249c510a285cef2da944956f907c8a10cf,,Evaluator helpers reused unchanged for interpolation and crossings
input,r7e_decoder_audit,"/home/jian/livox_ws/dog_loc_paper_ws/src/dog_prior_map_localization/docs/superloc_floor01/P3_R7E_VELODYNE_DECODER_AND_POINT_TIME_AUDIT.md",01833e82c9adf5a43612cd4ad5d2fbdac11807e65ef76a0fcc6a4c346337b870,,Official VLP16 decoder and point-time lineage
input,r7h_formal_report,"/home/jian/livox_ws/dog_loc_paper_ws/src/dog_prior_map_localization/docs/superloc_floor01/P3_R7H_FLOOR01_FULL_BASELINE_AND_FAILURE_TIMELINE.md",eba88149c8a60c47ab2bfe9d6ead8182b4e79531f6af68884a0077d5e50bbf8f,,Legacy Run A protocol and evaluator lineage
input,r7i_formal_report,"/home/jian/livox_ws/dog_loc_paper_ws/src/dog_prior_map_localization/docs/superloc_floor01/P3_R7I_COUNTERFACTUAL_INITIALIZATION_REPLICATION.md",f2f99e2d4918797f12404453c8456e983c5abf2afc902c72334e640fe619f543,,Legacy pre-registered-window interpretation
input,r9b_formal_report,"/home/jian/livox_ws/dog_loc_paper_ws/src/dog_prior_map_localization/docs/P3_R9B_MATURE_IMU_DESKEW_HARDENING.md",23ca69f341fdc4d4fa914bad93c4fb5e05194480e63981873a774b9987864b31,,Mature pipeline provenance and experimental boundary
input,r9b_protocol_report,"/home/jian/livox_ws/dog_loc_paper_ws/src/dog_prior_map_localization/docs/p3_r9b_artifacts/P3_R9B_PROTOCOL.md",94eb256422191ce66e803754aba36a2b01c8ba84ef4ec37a904a7176a9937513,,R9B full Run A protocol
window,RAW_IMU_SHOCK,,,,center=1660857533.043056 absolute seconds; half_width=1.0 seconds
window,BROAD_HIGH_DYNAMIC,,,,old R7I relative axis [138,168] seconds from frozen anchor
setting,bootstrap,,,,PCG64;seed=20260925;replicates=10000;CI=percentile 95%;tie_translation_m=1e-6;tie_rotation_deg=1e-6
